epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,303.819,0.88073,0.44922,0,0.55391,1.06618,0.99803,1,0.995,0.66912,0.99803,1,0.995,0.97897,1.10557,0.10915,0,0.48956,1.33993,0.0014456,0.0014456,0.0014456
30,312.52,0.8718,0.38675,0,0.54662,1.06159,0.99816,1,0.995,0.68078,0.99816,1,0.995,0.99373,1.11941,0.12452,0,0.47737,1.36831,0.0014258,0.0014258,0.0014258
31,324.029,0.86673,0.3998,0,0.54521,1.06698,0.99858,1,0.995,0.74723,0.99858,1,0.995,0.995,0.95265,0.0956,0,0.50182,1.244,0.001406,0.001406,0.001406
32,332.326,0.83066,0.37643,0,0.55149,1.06249,0.99845,1,0.995,0.69821,0.99845,1,0.995,0.98937,1.17643,0.15705,0,0.50635,1.36072,0.0013862,0.0013862,0.0013862
33,347.262,0.83088,0.41406,0,0.54328,1.02928,0.99126,1,0.995,0.66122,0.99126,1,0.995,0.995,1.16384,0.11561,0,0.49615,1.41739,0.0013664,0.0013664,0.0013664
34,355.614,0.80337,0.36324,0,0.51112,1.02817,0.99809,1,0.995,0.72639,0.99809,1,0.995,0.98377,1.11685,0.1336,0,0.5096,1.3408,0.0013466,0.0013466,0.0013466
35,366.932,0.81235,0.35544,0,0.51153,1.0417,0.99877,1,0.995,0.75371,0.99877,1,0.995,0.995,0.96995,0.08558,0,0.53963,1.24142,0.0013268,0.0013268,0.0013268
36,375.199,0.79676,0.3871,0,0.50438,1.03863,0.99889,1,0.995,0.74038,0.99889,1,0.995,0.99417,1.06969,0.09011,0,0.48199,1.32151,0.001307,0.001307,0.001307
37,386.48,0.77714,0.37535,0,0.5069,1.02843,0.99141,1,0.995,0.67156,0.99141,1,0.995,0.98997,1.12,0.09457,0,0.45975,1.34861,0.0012872,0.0012872,0.0012872
38,395.731,0.80593,0.34034,0,0.51288,1.0562,0.99779,1,0.995,0.6603,0.99779,1,0.995,0.99169,1.15887,0.09216,0,0.48485,1.37143,0.0012674,0.0012674,0.0012674
39,406.326,0.79627,0.34494,0,0.5116,1.04505,0.99962,1,0.995,0.69122,0.99962,1,0.995,0.995,1.17605,0.09011,0,0.47189,1.41816,0.0012476,0.0012476,0.0012476
40,416.943,0.79572,0.34525,0,0.50441,1.03138,0.99928,1,0.995,0.69617,0.99928,1,0.995,0.995,1.18033,0.08669,0,0.49407,1.41047,0.0012278,0.0012278,0.0012278
41,425.622,0.76251,0.34509,0,0.48202,1.0212,0.99589,1,0.995,0.72303,0.99589,1,0.995,0.995,1.11495,0.09933,0,0.49984,1.33259,0.001208,0.001208,0.001208
42,437.231,0.72915,0.34419,0,0.47516,1.0007,0.99874,1,0.995,0.72078,0.99874,1,0.995,0.995,1.13391,0.08035,0,0.44791,1.36816,0.0011882,0.0011882,0.0011882
43,445.344,0.80366,0.35732,0,0.48711,1.03928,0.99915,1,0.995,0.72877,0.99915,1,0.995,0.99236,1.06101,0.08264,0,0.43641,1.29381,0.0011684,0.0011684,0.0011684
44,456.907,0.76517,0.3453,0,0.46712,1.00008,0.99899,1,0.995,0.70421,0.99899,1,0.995,0.995,1.14892,0.06511,0,0.44703,1.37139,0.0011486,0.0011486,0.0011486
45,465.054,0.76827,0.2956,0,0.46445,1.01963,0.99859,1,0.995,0.69454,0.99859,1,0.995,0.995,1.104,0.0762,0,0.43305,1.33329,0.0011288,0.0011288,0.0011288
46,476.288,0.73793,0.29612,0,0.45194,1.00528,0.99904,1,0.995,0.71921,0.99904,1,0.995,0.995,1.07397,0.07374,0,0.43096,1.31375,0.001109,0.001109,0.001109
47,485.217,0.71213,0.24658,0,0.43274,0.98395,0.99904,1,0.995,0.71887,0.99904,1,0.995,0.98912,1.08073,0.09813,0,0.4237,1.35439,0.0010892,0.0010892,0.0010892
48,495.209,0.72932,0.26691,0,0.44821,1.00196,0.99927,1,0.995,0.75124,0.99927,1,0.995,0.99184,1.06314,0.07956,0,0.41614,1.29828,0.0010694,0.0010694,0.0010694
49,505.019,0.7254,0.2496,0,0.44977,1.00334,0.9952,1,0.995,0.74183,0.9952,1,0.995,0.995,1.00612,0.06235,0,0.43328,1.25548,0.0010496,0.0010496,0.0010496
50,514.611,0.70836,0.27099,0,0.45047,0.98655,0.99626,1,0.995,0.68531,0.99626,1,0.995,0.995,1.17355,0.07581,0,0.46993,1.41681,0.0010298,0.0010298,0.0010298
51,526.037,0.70044,0.2571,0,0.44446,0.98229,0.99914,1,0.995,0.69652,0.99914,1,0.995,0.995,1.11779,0.06487,0,0.46692,1.31647,0.00101,0.00101,0.00101
52,536.281,0.67035,0.23564,0,0.43737,1.00381,0.99923,1,0.995,0.69676,0.99923,1,0.995,0.995,1.10717,0.05285,0,0.42211,1.35004,0.0009902,0.0009902,0.0009902
53,547.826,0.67201,0.26734,0,0.44631,0.99187,0.99929,1,0.995,0.70346,0.99929,1,0.995,0.99119,1.13583,0.06671,0,0.4279,1.36945,0.0009704,0.0009704,0.0009704
54,555.997,0.64971,0.21392,0,0.42558,0.979,0.99929,1,0.995,0.72004,0.99929,1,0.995,0.995,1.17045,0.07532,0,0.43857,1.42684,0.0009506,0.0009506,0.0009506
55,567.345,0.72993,0.24156,0,0.452,0.99893,0.99926,1,0.995,0.68887,0.99926,1,0.995,0.995,1.14571,0.06094,0,0.43737,1.37278,0.0009308,0.0009308,0.0009308
