epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,336.017,0.8582,0.38642,0,0.52883,1.05782,0.99869,1,0.995,0.70613,0.99869,1,0.995,0.99208,1.09504,0.10923,0,0.50847,1.34922,0.0014456,0.0014456,0.0014456
30,347.883,0.8734,0.3547,0,0.54202,1.05624,0.99893,1,0.995,0.69688,0.99893,1,0.995,0.99322,1.11252,0.11313,0,0.47461,1.3708,0.0014258,0.0014258,0.0014258
31,357.109,0.87216,0.37971,0,0.53893,1.06939,0.99921,1,0.995,0.66874,0.99921,1,0.995,0.99066,1.08026,0.10979,0,0.53567,1.32414,0.001406,0.001406,0.001406
32,369.422,0.86067,0.33233,0,0.54662,1.07956,0.99815,1,0.995,0.70053,0.99815,1,0.995,0.98345,1.07759,0.14276,0,0.51326,1.3642,0.0013862,0.0013862,0.0013862
33,378.355,0.84473,0.33196,0,0.53552,1.05458,0.99197,1,0.995,0.65878,0.99197,1,0.995,0.99053,1.16711,0.10375,0,0.49576,1.4025,0.0013664,0.0013664,0.0013664
34,390.643,0.83185,0.33529,0,0.509,1.03323,0.99818,1,0.995,0.64772,0.99818,1,0.995,0.995,1.19198,0.121,0,0.48803,1.4067,0.0013466,0.0013466,0.0013466
35,400.907,0.82558,0.31679,0,0.51203,1.04762,0.9924,1,0.995,0.67351,0.9924,1,0.995,0.99153,1.10244,0.08516,0,0.67942,1.33128,0.0013268,0.0013268,0.0013268
36,415.399,0.80109,0.32558,0,0.49601,1.04888,0.9986,1,0.995,0.71198,0.9986,1,0.995,0.995,1.02429,0.0683,0,0.59522,1.28403,0.001307,0.001307,0.001307
37,427.877,0.80794,0.30443,0,0.49701,1.04425,0.99891,1,0.995,0.67182,0.99891,1,0.995,0.99314,1.1144,0.11336,0,0.48854,1.40393,0.0012872,0.0012872,0.0012872
38,437.968,0.80071,0.28592,0,0.50215,1.04981,0.9986,1,0.995,0.68399,0.9986,1,0.995,0.9897,1.06149,0.09171,0,0.4904,1.2967,0.0012674,0.0012674,0.0012674
